0	нула
1	еден
2	два
3	три
4	четири
5	пет
6	шест
7	седум
8	осум
9	девет
10	десет
11	единаесет
12	дванаесет
13	тринаесет
14	четиринаесет
15	петнаесет
16	шеснаесет
17	седумнаесет
18	осумнаесет
19	деветнаесет
20	дваесет
21	дваесет и еден
22	дваесет и два
23	дваесет и три
24	дваесет и четири
25	дваесет и пет
26	дваесет и шест
27	дваесет и седум
28	дваесет и осум
29	дваесет и девет
30	триесет
31	триесет и еден
32	триесет и два
33	триесет и три
34	триесет и четири
35	триесет и пет
36	триесет и шест
37	триесет и седум
38	триесет и осум
39	триесет и девет
40	четириесет
41	четириесет и еден
42	четириесет и два
43	четириесет и три
44	четириесет и четири
45	четириесет и пет
46	четириесет и шест
47	четириесет и седум
48	четириесет и осум
49	четириесет и девет
50	педесет
51	педесет и еден
52	педесет и два
53	педесет и три
54	педесет и четири
55	педесет и пет
56	педесет и шест
57	педесет и седум
58	педесет и осум
59	педесет и девет
60	шеесет
61	шеесет и еден
62	шеесет и два
63	шеесет и три
64	шеесет и четири
65	шеесет и пет
66	шеесет и шест
67	шеесет и седум
68	шеесет и осум
69	шеесет и девет
70	седумдесет
71	седумдесет и еден
72	седумдесет и два
73	седумдесет и три
74	седумдесет и четири
75	седумдесет и пет
76	седумдесет и шест
77	седумдесет и седум
78	седумдесет и осум
79	седумдесет и девет
80	осумдесет
81	осумдесет и еден
82	осумдесет и два
83	осумдесет и три
84	осумдесет и четири
85	осумдесет и пет
86	осумдесет и шест
87	осумдесет и седум
88	осумдесет и осум
89	осумдесет и девет
90	деведесет
91	деведесет и еден
92	деведесет и два
93	деведесет и три
94	деведесет и четири
95	деведесет и пет
96	деведесет и шест
97	деведесет и седум
98	деведесет и осум
99	деведесет и девет
100	сто
1000	илјада
10000	десет илјади
100000	сто илјади
1000000	еден милион
10000000	десет милиони
100000000	сто милиони
1000000000	милијарда
10000000000	десет милијарди
100000000000	сто милијарди
